7227.FBpp0071259	7227.FBpp0071497	1.0
7227.FBpp0078516	7227.FBpp0305226	1.0
7227.FBpp0082062	7227.FBpp0087319	1.0
7227.FBpp0070150	7227.FBpp0087609	1.0
7227.FBpp0074226	7227.FBpp0112496	1.0
7227.FBpp0079295	7227.FBpp0076445	1.0
7227.FBpp0074516	7227.FBpp0084726	1.0
7227.FBpp0086405	7227.FBpp0087355	1.0
7227.FBpp0076167	7227.FBpp0088491	1.0
7227.FBpp0074554	7227.FBpp0110438	1.0
7227.FBpp0072476	7227.FBpp0073502	1.0
7227.FBpp0076647	7227.FBpp0081849	1.0
7227.FBpp0079541	7227.FBpp0305165	1.0
7227.FBpp0070150	7227.FBpp0099686	1.0
7227.FBpp0077974	7227.FBpp0083975	1.0
7227.FBpp0071088	7227.FBpp0081528	1.0
7227.FBpp0075759	7227.FBpp0080121	1.0
7227.FBpp0075612	7227.FBpp0099686	1.0
7227.FBpp0082657	7227.FBpp0288463	1.0
7227.FBpp0085165	7227.FBpp0078656	1.0
7227.FBpp0077206	7227.FBpp0082246	1.0
7227.FBpp0073937	7227.FBpp0271517	1.0
7227.FBpp0070894	7227.FBpp0081445	1.0
7227.FBpp0081380	7227.FBpp0086701	1.0
7227.FBpp0081189	7227.FBpp0304242	1.0
7227.FBpp0305722	7227.FBpp0083962	1.0
7227.FBpp0074180	7227.FBpp0086103	1.0
7227.FBpp0077381	7227.FBpp0082314	1.0
7227.FBpp0296949	7227.FBpp0110421	1.0
7227.FBpp0305898	7227.FBpp0074687	1.0
7227.FBpp0082790	7227.FBpp0083502	1.0
7227.FBpp0075612	7227.FBpp0088242	1.0
7227.FBpp0081234	7227.FBpp0088946	1.0
7227.FBpp0305589	7227.FBpp0077909	1.0
7227.FBpp0077859	7227.FBpp0100182	1.0
7227.FBpp0073524	7227.FBpp0077885	1.0
7227.FBpp0077885	7227.FBpp0083168	1.0
7227.FBpp0071194	7227.FBpp0078997	1.0
7227.FBpp0078997	7227.FBpp0088242	1.0
7227.FBpp0074554	7227.FBpp0075941	1.0
