protein1,protein2,experimental
Q0045,YML030W,734
Q0045,YGL187C,985
Q0045,Q0275,985
Q0045,YLR395C,980
Q0045,Q0105,872
Q0045,YNR018W,944
Q0045,YMR256C,972
Q0045,YDR119W-A,926
Q0045,YFR033C,800
Q0045,YNL052W,950
Q0045,YPR191W,907
Q0045,YHR051W,985
Q0045,YDL067C,926
Q0045,YIL111W,934
Q0045,YGR183C,875
Q0045,YDR529C,865
Q0045,YEL024W,938
Q0045,YOR065W,875
Q0045,YGL191W,985
Q0045,YHR001W-A,909
Q0045,Q0250,985
Q0045,YLR038C,985
Q0045,YJL166W,835
Q0045,YBL045C,954
Q0080,YPL271W,800
Q0080,YML081C-A,972
Q0080,YDR298C,800
Q0080,YBL099W,944
Q0080,YBR039W,800
Q0080,YOL077W-A,800
Q0080,Q0085,972
Q0080,YLR295C,944
Q0080,YDR377W,926
Q0080,YPL078C,972
Q0080,YLR393W,734
Q0080,Q0130,900
Q0080,YDL004W,800
Q0080,YKL016C,972
Q0080,YJR121W,944
Q0085,YPL271W,957
Q0085,Q0080,972
Q0085,YDR298C,976
Q0085,YBL099W,957
Q0085,Q0275,734
Q0085,YOL077W-A,900
Q0085,YLR295C,944
Q0085,YKL016C,972
Q0085,YPR020W,825
Q0085,Q0130,992
Q0085,YML081C-A,972
Q0085,YBR039W,957
Q0085,YPL078C,972
Q0085,YDR377W,933
Q0085,YDL004W,957
Q0085,YJR121W,988
Q0085,YLR393W,734
Q0105,YEL024W,983
Q0105,YHR001W-A,915
Q0105,YJR048W,809
Q0105,YLR038C,971
Q0105,YBL045C,970
Q0105,Q0275,965
Q0105,YNR018W,800
Q0105,YDR119W-A,800
Q0105,YDL067C,800
Q0105,YHR051W,907
Q0105,YNL052W,832
Q0105,YIL111W,832
Q0105,YOR065W,991
Q0105,YGL191W,971
Q0105,Q0250,964
Q0105,YJL166W,987
Q0105,YML030W,734
Q0105,YGL187C,971
Q0105,YEL039C,809
Q0105,Q0045,872
Q0105,YLR395C,871
Q0105,YFR033C,816
Q0105,YMR256C,944
Q0105,YPR191W,956
Q0105,YDR529C,987
Q0105,YGR183C,972
Q0130,YLR295C,944
Q0130,YOL077W-A,800
Q0130,YKL016C,992
Q0130,YPR020W,825
Q0130,YPL271W,964
Q0130,Q0080,900
Q0130,YBL099W,987
Q0130,YDR298C,964
Q0130,YPL078C,987
Q0130,YDR377W,800
Q0130,Q0085,992
Q0130,YDL004W,982
Q0130,YJR121W,977
Q0130,YLR393W,734
Q0130,YML081C-A,944
Q0130,YBR039W,982
Q0140,YML009C,800
Q0140,YCR071C,800
Q0140,YCR003W,800
Q0140,YGR084C,800
Q0140,YDR237W,800
Q0140,YMR188C,800
Q0140,YDR175C,900
Q0140,YNL122C,800
Q0140,YHR059W,800
Q0140,YGR076C,800
Q0140,YBR122C,800
Q0140,YLR439W,800
Q0140,YIL093C,800
Q0140,YNR036C,800
Q0140,YNL177C,800
Q0140,YER050C,800
Q0140,YKR085C,800
Q0140,YJR113C,800
Q0140,YMR286W,800
Q0140,YMR193W,800
Q0140,YHR147C,800
Q0140,YPR100W,800
Q0140,YDR462W,800
Q0140,YGR150C,800
Q0140,YDR041W,900
Q0140,YDR347W,800
Q0140,YJL096W,800
Q0140,YBR251W,925
Q0140,YJL063C,800
Q0140,YNL005C,800
Q0140,YMR158W,800
Q0140,YMR024W,800
Q0140,YPR166C,900
Q0140,YKL003C,800
Q0140,YLR312W-A,800
Q0140,YNL306W,800
Q0140,YGR215W,900
Q0140,YCR046C,800
Q0140,YGL129C,800
Q0140,YBL038W,800
Q0140,YHL004W,852
Q0140,YDR337W,800
Q0140,YOR158W,800
Q0140,YOR150W,800
Q0140,YNR037C,800
Q0140,YDR322W,800
Q0140,YEL050C,800
Q0140,YPL183W-A,800
Q0140,YBR146W,800
Q0140,YPL173W,800
Q0140,YPL118W,800
Q0140,YBR282W,800
Q0140,YDL045W-A,800
Q0140,YNL137C,800
Q0140,YML025C,800
Q0140,YDR296W,800
Q0140,YDR036C,800
Q0140,YKL155C,852
Q0140,YDR405W,800
Q0140,YPL013C,800
Q0140,YGR165W,800
Q0140,YDR115W,800
Q0140,YKL138C,800
Q0140,YGR220C,800
Q0140,YNL284C,800
Q0140,YKR006C,800
Q0140,YNR022C,800
Q0140,YNL252C,800
Q0140,YDR494W,800
Q0140,YKL170W,800
Q0140,YJR101W,800
Q0140,YNL081C,800
Q0140,YBL090W,800
Q0250,YGL187C,972
Q0250,Q0275,957
Q0250,YML030W,734
Q0250,YLR395C,957
Q0250,Q0045,985
Q0250,YNR018W,852
Q0250,Q0105,964
Q0250,YHR051W,972
Q0250,YPR191W,967
Q0250,YNL052W,986
Q0250,YDL067C,972
Q0250,YDR119W-A,925
Q0250,YMR256C,944
Q0250,YBR037C,734
Q0250,YFR033C,800
Q0250,YGR183C,933
Q0250,YDR231C,734
Q0250,YDR529C,923
Q0250,YMR244C-A,877
Q0250,YIL111W,949
Q0250,YOR065W,971
Q0250,YEL024W,964
Q0250,YGL191W,964
Q0250,YHR001W-A,800
Q0250,YGR062C,734
Q0250,YJL166W,935
Q0250,YBL045C,964
Q0250,YLR038C,992
Q0275,YGL191W,972
Q0275,Q0085,734
Q0275,YEL024W,964
Q0275,YOR065W,964
Q0275,YJL166W,948
Q0275,YBL045C,904
Q0275,YLR038C,992
Q0275,Q0250,957
Q0275,YHR001W-A,909
Q0275,Q0105,965
Q0275,Q0045,985
Q0275,YNR018W,926
Q0275,YLR395C,981
Q0275,YGL187C,972
Q0275,YML030W,734
Q0275,YDR529C,931
Q0275,YGR183C,948
Q0275,YIL111W,896
Q0275,YDL067C,800
Q0275,YNL052W,971
Q0275,YHR051W,957
Q0275,YPR191W,948
Q0275,YFR033C,800
Q0275,YMR256C,972
Q0275,YDR119W-A,800
YAL001C,YGR047C,705
YAL001C,YPL007C,734
YAL001C,YOR110W,732
YAL001C,YBR123C,732
YAL002W,YDL077C,745
YAL002W,YLR396C,745
YAL002W,YOR089C,741
YAL002W,YMR231W,758
YAL002W,YLR148W,761
YAL002W,YKR014C,741
YAL002W,YDR495C,745
YAL002W,YPL045W,766
YAL003W,YPR080W,906
YAL003W,YPL048W,930
YAL003W,YKL081W,944
YAL003W,YBR118W,969
YAL005C,YPL106C,953
YAL005C,YLL024C,886
YAL005C,YHR117W,960
YAL007C,YOR016C,734
YAL007C,YAR002C-A,731
YAL010C,YMR060C,943
YAL010C,YHR083W,886
YAL010C,YNL026W,943
YAL011W,YBR231C,705
YAL011W,YDR485C,705
YAL011W,YML041C,705
YAL011W,YDR334W,704
YAL012W,YMR300C,732
YAL013W,YBR095C,705
YAL013W,YPL181W,705
YAL013W,YMR263W,705
YAL013W,YPL139C,705
YAL016W,YGL190C,915
YAL016W,YDL134C,893
YAL016W,YOR014W,944
YAL016W,YMR273C,705
YAL016W,YPL152W,746
YAL016W,YDL188C,879
YAL020C,YBL071W-A,962
YAL021C,YDL165W,765
YAL021C,YCR093W,971
YAL021C,YNL288W,781
YAL021C,YNR052C,992
YAL021C,YDR252W,704
YAL021C,YDL140C,737
YAL021C,YPR072W,768
YAL021C,YER068W,745
YAL021C,YIL038C,768
YAL023C,YDL095W,967
YAL024C,YHR158C,706
YAL025C,YER056C-A,819
YAL025C,YER117W,819
YAL025C,YMR194W,819
YAL025C,YER006W,830
YAL025C,YIL133C,819
YAL025C,YKL082C,805
YAL025C,YER002W,830
YAL025C,YNL110C,914
YAL025C,YOL077C,898
YAL025C,YMR049C,860
YAL025C,YGL147C,819
YAL025C,YHL033C,835
YAL025C,YDL075W,871
YAL025C,YHR088W,988
YAL025C,YMR242C,819
YAL025C,YOR063W,835
YAL025C,YLR002C,918
YAL025C,YOL120C,917
YAL025C,YLR029C,819
YAL025C,YGR103W,874
YAL025C,YBL027W,819
YAL025C,YBR191W,819
YAL025C,YHR066W,879
YAL025C,YOR272W,875
YAL025C,YNL061W,835
YAL025C,YBR084C-A,819
YAL025C,YLR009W,944
YAL025C,YGL030W,835
YAL025C,YDL082W,823
YAL025C,YBL092W,949
YAL025C,YPL093W,897
YAL025C,YPL249C-A,819
YAL025C,YBL087C,819
YAL025C,YKL180W,915
YAL025C,YHR010W,819
YAL025C,YGL111W,979
YAL025C,YDL136W,823
YAL025C,YOR312C,819
YAL025C,YNL301C,917
YAL025C,YML073C,917
YAL025C,YLR061W,823
YAL025C,YNL002C,896
YAL025C,YPL211W,830
YAL025C,YLR344W,874
YAL025C,YDR087C,973
YAL025C,YGL076C,914
YAL025C,YPL143W,823
YAL025C,YKL006W,826
YAL025C,YBL028C,830
YAL025C,YBR031W,917
YAL025C,YER126C,896
YAL025C,YMR290C,884
YAL025C,YKL009W,830
YAL025C,YLR185W,819
YAL025C,YDL191W,823
YAL025C,YCL054W,898
YAL025C,YHR052W,835
YAL025C,YLR325C,823
YAL025C,YPR143W,800
YAL025C,YPR016C,830
YAL025C,YKL172W,897
YAL025C,YOL127W,869
YAL026C,YCR094W,971
YAL029C,YBR130C,972
YAL029C,YGL106W,738
YAL029C,YKL130C,734
YAL030W,YDR164C,724
YAL030W,YMR183C,764
YAL030W,YPL232W,983
YAL030W,YGR009C,967
YAL030W,YBL050W,901
YAL032C,YMR240C,835
YAL032C,YKR022C,800
YAL032C,YKR086W,971
YAL032C,YMR213W,972
YAL032C,YPR094W,832
YAL032C,YDR163W,982
YAL032C,YNR011C,944
YAL032C,YGL128C,935
YAL032C,YLL036C,957
YAL032C,YPR182W,951
YAL032C,YGR074W,933
YAL032C,YBR119W,746
YAL032C,YJL203W,941
YAL032C,YLR424W,858
YAL032C,YHR165C,989
YAL032C,YLR016C,948
YAL032C,YNL138W-A,832
YAL032C,YDR364C,988
YAL032C,YER013W,951
YAL032C,YKL095W,967
YAL032C,YLR117C,972
YAL032C,YDL030W,835
YAL032C,YML049C,945
YAL032C,YNL245C,832
YAL032C,YGR006W,800
YAL032C,YDR416W,988
YAL032C,YGR129W,968
YAL032C,YKL173W,987
YAL032C,YDR088C,832
YAL032C,YFL017W-A,948
YAL032C,YER029C,958
YAL032C,YIR009W,924
YAL032C,YOR148C,800
YAL032C,YPL064C,899
YAL032C,YOR319W,835
YAL032C,YIR005W,897
YAL032C,YPL151C,972
YAL032C,YMR288W,966
YAL032C,YBR065C,982
YAL032C,YDL209C,959
YAL032C,YPL213W,977
YAL032C,YGR278W,948
YAL032C,YGL120C,949
YAL032C,YGL174W,949
YAL032C,YDR482C,906
YAL032C,YDL043C,909
YAL032C,YPR101W,944
YAL032C,YBR188C,800
YAL032C,YER172C,988
YAL032C,YJR050W,896
YAL032C,YLR275W,955
YAL032C,YLR323C,832
YAL032C,YCR063W,972
YAL032C,YLR147C,897
YAL032C,YOR159C,949
YAL033W,YIR015W,988
YAL033W,YLR145W,944
YAL033W,YDR478W,800
YAL033W,YNL221C,989
YAL033W,YHR062C,972
YAL033W,YBR257W,957
YAL033W,YBL018C,972
YAL033W,YNL282W,944
YAL033W,YGR030C,944
YAL033W,YBR167C,972
YAL034W-A,YIR010W,757
YAL034W-A,YPL233W,757
YAL034W-A,YJR112W,762
YAL035W,YLR388W,895
YAL035W,YHL033C,886
YAL035W,YJL189W,832
YAL035W,YPR043W,872
YAL035W,YOR063W,902
YAL035W,YER117W,872
YAL035W,YMR194W,887
YAL035W,YKR057W,809
YAL035W,YIL069C,895
YAL035W,YML026C,886
YAL035W,YGL135W,820
YAL035W,YBL092W,896
YAL035W,YGL030W,907
YAL035W,YPL131W,899
YAL035W,YBR181C,923
YAL035W,YLR029C,872
YAL035W,YNL162W,830
YAL035W,YOR182C,877
YAL035W,YHR203C,895
YAL035W,YGL031C,872
YAL035W,YKR094C,809
YAL035W,YJR145C,891
YAL035W,YIL018W,848
YAL035W,YER102W,886
YAL035W,YIL148W,809
YAL035W,YGL189C,895
YAL035W,YER074W,895
YAL035W,YDR450W,916
YAL035W,YPL081W,916
YAL035W,YMR143W,892
YAL035W,YOR361C,701
YAL035W,YOL121C,916
YAL035W,YGR027C,895
YAL035W,YKL180W,872
YAL035W,YBL087C,872
YAL035W,YDL082W,887
YAL035W,YPL220W,820
YAL035W,YLR264W,895
YAL035W,YLR287C-A,877
YAL035W,YPL198W,877
YAL035W,YML024W,899
YAL035W,YDL184C,800
YAL035W,YLR150W,800
YAL035W,YFR031C-A,935
YAL035W,YJL191W,857
YAL035W,YOR369C,943
YAL035W,YER131W,895
YAL035W,YBL072C,916
YAL035W,YJL190C,915
YAL035W,YGR214W,892
YAL035W,YMR116C,943
YAL035W,YPL143W,872
YAL035W,YDL075W,892
YAL035W,YOL120C,872
YAL035W,YOR096W,916
YAL035W,YDL083C,892
YAL035W,YGR148C,872
YAL035W,YBR048W,895
YAL035W,YHR021C,884
YAL035W,YBR189W,886
YAL035W,YPR102C,872
YAL035W,YDR064W,943
YAL035W,YBR191W,872
YAL035W,YPL090C,896
YAL035W,YOR167C,895
YAL035W,YBL027W,872
YAL035W,YLR048W,854
YAL035W,YML073C,835
YAL035W,YLR061W,872
YAL035W,YOR312C,870
YAL035W,YGR118W,898
YAL035W,YNL067W,872
YAL035W,YDL136W,872
YAL035W,YHR010W,892
YAL035W,YDR447C,863
YAL035W,YLR185W,872
YAL035W,YGR085C,872
YAL035W,YGL076C,874
YAL035W,YCR031C,894
YAL035W,YPR132W,898
YAL035W,YMR260C,983
YAL035W,YJR123W,935
YAL035W,YKL006W,872
YAL035W,YBR031W,875
YAL035W,YGL147C,872
YAL035W,YOL040C,956
YAL035W,YMR242C,875
YAL035W,YFR032C-A,899
YAL035W,YIL133C,892
YAL035W,YER056C-A,872
YAL035W,YJL136C,835
YAL035W,YKL156W,914
YAL035W,YHR141C,830
YAL035W,YBR084C-A,872
YAL035W,YLR340W,841
YAL035W,YGL103W,899
YAL035W,YJR094W-A,872
YAL035W,YLR441C,916
YAL035W,YML063W,886
YAL035W,YLR075W,908
YAL035W,YNL301C,872
YAL035W,YOR293W,914
YAL035W,YGL123W,943
YAL035W,YDR025W,895
YAL035W,YLR325C,896
YAL035W,YDL191W,872
YAL035W,YOL127W,925
YAL035W,YLR167W,923
YAL035W,YLR344W,902
YAL035W,YNL178W,949
YAL035W,YHL015W,943
YAL035W,YDL133C-A,800
YAL036C,YDR025W,800
YAL036C,YER131W,800
YAL036C,YGL031C,800
YAL036C,YBL072C,852
YAL036C,YOR369C,852
YAL036C,YGL123W,852
YAL036C,YHR010W,800
YAL036C,YJL191W,800
YAL036C,YDL136W,800
YAL036C,YFR031C-A,808
YAL036C,YHR203C,800
YAL036C,YOR293W,852
YAL036C,YEL054C,800
YAL036C,YGR118W,800
YAL036C,YOR182C,800
YAL036C,YLR061W,800
YAL036C,YNL301C,806
YAL036C,YDL184C,800
YAL036C,YOR312C,800
YAL036C,YNL162W,800
YAL036C,YLR448W,806
YAL036C,YBR031W,805
YAL036C,YKL006W,800
YAL036C,YPL143W,800
YAL036C,YHL015W,852
YAL036C,YDL133C-A,800
YAL036C,YJR123W,800
YAL036C,YNL178W,852
YAL036C,YGL076C,805
YAL036C,YPR132W,800
YAL036C,YLR344W,852
YAL036C,YDR418W,800
YAL036C,YIL148W,800
YAL036C,YLR167W,800
YAL036C,YOR091W,967
YAL036C,YGR085C,800
YAL036C,YEL034W,800
YAL036C,YMR116C,852
YAL036C,YOL127W,886
YAL036C,YLR325C,800
YAL036C,YGR214W,852
YAL036C,YIL018W,808
YAL036C,YJR145C,800
YAL036C,YDL191W,800
YAL036C,YLR185W,800
YAL036C,YER102W,800
YAL036C,YJL190C,852
YAL036C,YKR094C,800
YAL036C,YOL121C,852
YAL036C,YHR141C,800
YAL036C,YHR021C,800
YAL036C,YKR057W,800
YAL036C,YMR143W,800
YAL036C,YMR194W,800
YAL036C,YPL081W,852
YAL036C,YER117W,800
YAL036C,YKL156W,852
YAL036C,YJL136C,800
YAL036C,YER056C-A,800
YAL036C,YIL133C,852
YAL036C,YDR450W,852
YAL036C,YBR048W,800
YAL036C,YOR063W,800
YAL036C,YMR242C,800
YAL036C,YDL083C,800
YAL036C,YFR032C-A,800
YAL036C,YOL120C,806
YAL036C,YOL040C,852
YAL036C,YOR096W,852
YAL036C,YPR043W,800
YAL036C,YER074W,800
YAL036C,YDL075W,852
YAL036C,YLR388W,800
YAL036C,YJL189W,800
YAL036C,YHL033C,806
YAL036C,YGL147C,800
YAL036C,YBL027W,800
YAL036C,YLR075W,800
YAL036C,YOR167C,800
YAL036C,YML024W,852
YAL036C,YLR029C,800
YAL036C,YBR191W,800
YAL036C,YPL090C,800
YAL036C,YLR287C-A,800
YAL036C,YPL131W,800
YAL036C,YBR181C,852
YAL036C,YDR064W,852
YAL036C,YJR094W-A,800
YAL036C,YBL092W,800
YAL036C,YLR441C,852
YAL036C,YDL082W,800
YAL036C,YGL030W,800
YAL036C,YGR027C,800
YAL036C,YKL180W,800
YAL036C,YBL087C,800
YAL036C,YLR340W,806
YAL036C,YGL103W,800
YAL036C,YIL069C,800
YAL036C,YBR084C-A,800
YAL036C,YML026C,800
YAL041W,YBR200W,968
YAL042W,YML067C,745
YAL042W,YJR010C-A,726
YAL043C,YGR156W,759
YAL043C,YLR115W,938
YAL043C,YBR119W,705
YAL043C,YKL006W,734
YAL043C,YDR301W,768
YAL043C,YNL317W,763
YAL043C,YDR195W,734
YAL043C,YMR061W,758
YAL043C,YER133W,745
YAL043C,YDR228C,734
YAL043C,YGR047C,734
YAL043C,YKR002W,743
YAL043C,YLR340W,734
YAL043C,YLR277C,935
YAL043C,YGL044C,759
YAL043C,YPR107C,841
YAL043C,YLL045C,734
YAL043C,YOR179C,734
YAL043C,YNL222W,909
YAL043C,YPL008W,734
YAL043C,YJR093C,747
YAL043C,YOR063W,734
YAL043C,YKL018W,749
YAL043C,YHL001W,734
YAL043C,YKL059C,734
YAL043C,YMR039C,734
YAL047C,YNL126W,734
YAL047C,YHR172W,711
YAL055W,YGR133W,960
YAR002C-A,YGL002W,734
YAR002C-A,YML012W,775
YAR002C-A,YGL200C,762
YAR002C-A,YAL007C,731
YAR002W,YNL189W,721
YAR002W,YLR335W,705
YAR002W,YLR347C,721
YAR003W,YKR094C,922
YAR003W,YNL030W,896
YAR003W,YPL138C,979
YAR003W,YLR167W,972
YAR003W,YIL148W,926
YAR003W,YHR119W,989
YAR003W,YBR009C,896
YAR003W,YBL003C,827
YAR003W,YNL317W,734
YAR003W,YDR469W,988
YAR003W,YBR010W,886
YAR003W,YBR175W,983
YAR003W,YLL039C,972
YAR003W,YNL031C,835
YAR003W,YLR015W,992
YAR007C,YHR164C,841
YAR007C,YJL173C,969
YAR007C,YIR002C,705
YAR007C,YMR190C,780
YAR007C,YLR318W,719
YAR007C,YML032C,770
YAR007C,YNL312W,992
YAR033W,YGL051W,734
YAR042W,YHR195W,949
YBL002W,YBR107C,800
YBL002W,YKL049C,906
YBL002W,YDR254W,800
YBL002W,YLR315W,800
YBL002W,YBR010W,953
YBL002W,YPL018W,800
YBL002W,YPR179C,800
YBL002W,YNL021W,918
YBL002W,YDR318W,800
YBL002W,YLR442C,944
YBL002W,YKL089W,864
YBL002W,YBR245C,722
YBL002W,YBR009C,965
YBL002W,YLR381W,800
YBL002W,YDR383C,800
YBL002W,YML065W,928
YBL002W,YOL012C,741
YBL002W,YDR225W,963
YBL002W,YPR046W,800
YBL002W,YNL030W,936
YBL002W,YJR135C,800
YBL002W,YDR295C,800
YBL002W,YNL031C,917
YBL002W,YBR211C,886
YBL002W,YOR207C,712
YBL002W,YGR179C,800
YBL002W,YBL003C,963
YBL002W,YDR224C,918
YBL003C,YMR223W,833
YBL003C,YCR052W,899
YBL003C,YMR091C,906
YBL003C,YDR318W,800
YBL003C,YNL021W,832
YBL003C,YML069W,906
YBL003C,YGR275W,852
YBL003C,YPR179C,800
YBL003C,YBR289W,909
YBL003C,YMR033W,876
YBL003C,YKL089W,939
YBL003C,YGL207W,971
YBL003C,YLR442C,960
YBL003C,YIL143C,800
YBL003C,YFL024C,943
YBL003C,YOR210W,833
YBL003C,YDR359C,813
YBL003C,YDR254W,800
YBL003C,YGL066W,800
YBL003C,YKL049C,953
YBL003C,YBR107C,800
YBL003C,YHR119W,912
YBL003C,YPL138C,810
YBL003C,YLR167W,943
YBL003C,YOR224C,833
YBL003C,YPL018W,800
YBL003C,YBL006C,800
YBL003C,YBR154C,875
YBL003C,YHR056C,800
YBL003C,YPR086W,800
YBL003C,YBR010W,967
YBL003C,YLR315W,800
YBL003C,YPL047W,900
YBL003C,YER171W,800
YBL003C,YDR225W,943
YBL003C,YBR175W,818
YBL003C,YBL002W,963
YBL003C,YLR357W,885
YBL003C,YDR460W,800
YBL003C,YHR143W-A,833
YBL003C,YNR023W,810
YBL003C,YDR383C,800
YBL003C,YOL005C,829
YBL003C,YLR381W,800
YBL003C,YLR321C,936
YBL003C,YKR062W,800
YBL003C,YJR082C,866
YBL003C,YBR245C,921
YBL003C,YBR009C,974
YBL003C,YGR186W,800
YBL003C,YJL168C,942
YBL003C,YLR005W,800
YBL003C,YPL122C,900
YBL003C,YML065W,949
YBL003C,YGR005C,800
YBL003C,YLL039C,936
YBL003C,YML010W,854
YBL003C,YER148W,907
YBL003C,YLR033W,886
YBL003C,YBR211C,800
YBL003C,YNL031C,917
YBL003C,YHL025W,810
YBL003C,YKL058W,800
YBL003C,YPR056W,800
YBL003C,YPR034W,806
YBL003C,YNL030W,936
YBL003C,YPR046W,800
YBL003C,YHR090C,860
YBL003C,YFL039C,808
YBL003C,YDR295C,800
YBL003C,YJR135C,800
YBL003C,YHR099W,879
YBL003C,YML127W,902
YBL003C,YOR151C,835
YBL003C,YDR311W,800
YBL003C,YGL070C,833
YBL003C,YGL097W,892
YBL003C,YPL016W,800
YBL003C,YKR048C,950
YBL003C,YOR290C,851
YBL003C,YDR079C-A,800
YBL003C,YJL176C,860
YBL003C,YAR003W,827
YBL003C,YKR008W,834
YBL003C,YCR020W-B,800
YBL003C,YLR015W,826
YBL003C,YGR063C,833
YBL003C,YDR303C,909
YBL003C,YKR094C,913
YBL003C,YGR002C,800
YBL003C,YPR187W,833
YBL003C,YIL021W,833
YBL003C,YKL028W,800
YBL003C,YER164W,934
YBL003C,YDL140C,833
YBL003C,YOR244W,943
YBL003C,YJL081C,893
YBL003C,YIL148W,935
YBL003C,YGR179C,800
YBL003C,YFL049W,800
YBL003C,YDR404C,833
YBL003C,YFR037C,811
YBL003C,YDR224C,976
YBL003C,YBR111W-A,825
YBL003C,YDR469W,825
YBL003C,YDR440W,929
YBL003C,YJL140W,833
YBL003C,YIL126W,914
YBL004W,YLL011W,953
YBL004W,YCR057C,957
YBL004W,YGR118W,896
YBL004W,YLR367W,883
YBL004W,YDR398W,933
YBL004W,YPL266W,832
YBL004W,YDL111C,825
YBL004W,YIL127C,800
YBL004W,YOR145C,923
YBL004W,YDR280W,921
YBL004W,YDR025W,896
YBL004W,YJR002W,950
YBL004W,YBL072C,923
YBL004W,YOL021C,800
YBL004W,YCR035C,800
YBL004W,YOR369C,875
YBL004W,YLR222C,957
YBL004W,YKL099C,933
YBL004W,YOL142W,800
YBL004W,YER082C,957
YBL004W,YPL217C,957
YBL004W,YJL191W,891
YBL004W,YPR137W,957
YBL004W,YHR203C,884
YBL004W,YDL014W,957
YBL004W,YLR186W,933
YBL004W,YKR060W,823
YBL004W,YMR093W,933
YBL004W,YGR158C,800
YBL004W,YJR145C,884
YBL004W,YGR128C,944
YBL004W,YNL132W,957
YBL004W,YDR299W,957
YBL004W,YER102W,896
YBL004W,YJL190C,914
YBL004W,YER127W,933
YBL004W,YGR195W,800
YBL004W,YDR339C,954
YBL004W,YOR078W,944
YBL004W,YMR128W,883
YBL004W,YDR324C,957
YBL004W,YNR024W,800
YBL004W,YDL153C,933
YBL004W,YJR123W,933
YBL004W,YOR001W,855
YBL004W,YPR132W,896
YBL004W,YJL069C,933
YBL004W,YCR031C,920
YBL004W,YEL026W,933
YBL004W,YMR229C,887
YBL004W,YHR081W,800
YBL004W,YLR051C,933
YBL004W,YDL083C,896
YBL004W,YCL031C,933
YBL004W,YDL148C,952
YBL004W,YOR096W,924
YBL004W,YER074W,897
YBL004W,YOL010W,957
YBL004W,YPR144C,957
YBL004W,YDL213C,734
YBL004W,YHR069C,800
YBL004W,YIL019W,874
YBL004W,YLR197W,951
YBL004W,YJL109C,957
YBL004W,YHR021C,891
YBL004W,YHR196W,971
YBL004W,YOL121C,923
YBL004W,YBR247C,957
YBL004W,YMR143W,896
YBL004W,YPL081W,923
YBL004W,YKL156W,920
YBL004W,YGR145W,933
YBL004W,YDR449C,957
YBL004W,YLR129W,957
YBL004W,YHR148W,933
YBL004W,YML093W,951
YBL004W,YDR450W,923
YBL004W,YBR048W,896
YBL004W,YNL232W,820
YBL004W,YJL050W,800
YBL004W,YPL126W,957
YBL004W,YLR441C,923
YBL004W,YGR095C,800
YBL004W,YIL069C,897
YBL004W,YML026C,896
YBL004W,YOR167C,896
YBL004W,YGR090W,957
YBL004W,YPL090C,897
YBL004W,YLR409C,957
YBL004W,YBR118W,734
YBL004W,YNL075W,957
YBL004W,YOR310C,957
YBL004W,YCL059C,957
YBL004W,YLR264W,896
YBL004W,YDR064W,950
YBL004W,YBR181C,924
YBL006C,YMR091C,800
YBL006C,YHR056C,800
YBL006C,YLR321C,852
YBL006C,YDR303C,800
YBL006C,YDR225W,800
YBL006C,YCR052W,800
YBL006C,YMR033W,872
YBL006C,YNL030W,800
YBL006C,YFR037C,937
YBL006C,YBR010W,852
YBL006C,YCR020W-B,800
YBL006C,YPR034W,800
YBL006C,YNL031C,800
YBL006C,YBL003C,800
YBL006C,YBR009C,852
YBL006C,YKR008W,915
YBL006C,YLR357W,852
YBL006C,YML127W,873
YBL006C,YIL126W,943
YBL006C,YGR275W,800
YBL006C,YLR033W,920
YBL007C,YJL201W,734
YBL007C,YOR181W,745
YBL007C,YPR171W,724
YBL007C,YLR167W,900
YBL007C,YFR024C-A,972
YBL007C,YKR094C,900
YBL007C,YIL148W,900
YBL007C,YLL039C,960
YBL007C,YHR016C,724
YBL008W,YBR215W,705
YBL008W,YJL115W,901
YBL014C,YPR010C,800
YBL014C,YJL148W,800
YBL014C,YML043C,951
YBL014C,YDR156W,800
YBL014C,YBR154C,800
YBL014C,YKL125W,852
YBL014C,YJL025W,959
YBL014C,YOR224C,800
YBL014C,YPR110C,800
YBL014C,YNL248C,800
YBL014C,YNL113W,800
YBL014C,YPR187W,800
YBL014C,YOR340C,800
YBL014C,YJR063W,800
YBL014C,YOR341W,800
YBL014C,YOR210W,800
YBL014C,YHR143W-A,800
YBL016W,YBR091C,734
YBL016W,YNL053W,949
YBL016W,YDL159W,958
YBL016W,YJL157C,960
YBL016W,YDR103W,960
YBL018C,YHR062C,972
YBL018C,YNL221C,966
YBL018C,YBR167C,936
YBL018C,YNL282W,944
YBL018C,YGR030C,930
YBL018C,YBR257W,957
YBL018C,YIR015W,955
YBL018C,YAL033W,972
YBL018C,YDR478W,800
YBL018C,YLR145W,834
YBL021C,YOR358W,946
YBL021C,YGL237C,946
YBL023C,YJR046W,972
YBL023C,YBR060C,950
YBL023C,YDR328C,800
YBL023C,YJL194W,950
YBL023C,YPR162C,947
YBL023C,YMR048W,951
YBL023C,YDR489W,984
YBL023C,YDR013W,978
YBL023C,YNL261W,972
YBL023C,YPR135W,906
YBL023C,YJL072C,986
YBL023C,YNL262W,963
YBL023C,YDL017W,908
YBL023C,YGL201C,972
YBL023C,YLR274W,972
YBL023C,YPR019W,972
YBL023C,YEL032W,972
YBL023C,YLR103C,972
YBL023C,YOR080W,886
YBL023C,YBR202W,957
YBL023C,YOL146W,979
YBL023C,YJL106W,734
YBL023C,YHR118C,972
YBL023C,YIL150C,719
YBL023C,YNL273W,960
YBL023C,YPR175W,835
