protein1,protein2,experimental
A0A1D8PH21,A0A1D8PSV5,925
A0A1D8PH21,A0A1D8PF57,861
A0A1D8PH21,A0A1D8PF45,925
A0A1D8PH21,A0A1D8PTY4,921
A0A1D8PH21,A0A1D8PQS0,832
A0A1D8PH21,A0A1D8PHH4,925
A0A1D8PH21,Q5AG43,925
A0A1D8PH21,A0A1D8PDT3,925
A0A1D8PH21,A0A1D8PK43,925
A0A1D8PH21,Q5AIB8,925
A0A1D8PH21,P40910,925
A0A1D8PH21,A0A1D8PTI7,861
A0A1D8PH21,A0A1D8PPN6,925
A0A1D8PH21,A0A1D8PCW6,925
A0A1D8PH21,A0A1D8PNQ6,925
A0A1D8PH21,A0A1D8PK71,816
A0A1D8PH21,A0A1D8PFL9,925
A0A1D8PH21,A0A1D8PTR4,925
A0A1D8PH21,A0A1D8PK30,925
A0A1D8PH21,Q5A6R1,925
A0A1D8PH21,A0A1D8PPE0,925
A0A1D8PH21,O42817,925
A0A1D8PH21,A0A1D8PGY8,925
A0A1D8PH21,Q5A109,925
A0A1D8PH21,A0A1D8PK40,925
A0A1D8PH22,Q59N31,832
A0A1D8PH22,Q5AK78,832
A0A1D8PH71,A0A1D8PFH7,832
A0A1D8PH71,A0A1D8PTI0,784
A0A1D8PH71,Q5AED6,832
A0A1D8PH71,A0A1D8PFI2,820
A0A1D8PH71,Q5AC37,832
A0A1D8PH71,Q5A449,832
A0A1D8PH71,A0A1D8PHP3,832
A0A1D8PH71,Q5A7Q3,832
A0A1D8PH71,Q5A322,832
A0A1D8PH71,Q5APG6,802
A0A1D8PH71,A0A1D8PMK6,832
A0A1D8PH71,A0A1D8PPC8,832
A0A1D8PH71,Q5APB0,832
A0A1D8PH71,A0A1D8PH20,832
A0A1D8PH71,A0A1D8PNM3,832
A0A1D8PH71,Q59PD3,832
A0A1D8PH71,Q5ADV1,832
A0A1D8PH71,Q5A5N5,799
A0A1D8PH71,A0A1D8PMR5,832
A0A1D8PH71,Q59XY0,823
A0A1D8PH71,A0A1D8PUC1,832
A0A1D8PH71,Q5AP89,779
A0A1D8PH72,A0A1D8PFE1,832
A0A1D8PH80,A0A1D8PLR5,832
A0A1D8PH80,Q5AK73,733
A0A1D8PH80,A0A1D8PUA6,832
A0A1D8PH80,Q5A8Y7,832
A0A1D8PH80,A0A1D8PFJ8,832
A0A1D8PH80,Q5AHZ7,832
A0A1D8PH80,Q5A462,832
A0A1D8PH80,Q59QT0,832
A0A1D8PH80,A0A1D8PFX2,832
A0A1D8PH80,Q59MZ8,832
A0A1D8PH80,Q5ALX3,803
A0A1D8PH80,Q59Z24,832
A0A1D8PH80,A0A1D8PCD0,832
A0A1D8PH80,Q5A8Y5,832
A0A1D8PH80,Q5AG31,781
A0A1D8PHA2,A0A1D8PP59,941
A0A1D8PHA2,Q5ABS1,953
A0A1D8PHA2,A0A1D8PJX3,953
A0A1D8PHA2,Q5ALV5,802
A0A1D8PHA2,Q5ALV9,822
A0A1D8PHA2,Q5APK5,793
A0A1D8PHA2,P0C8L0,953
A0A1D8PHA2,A0A1D8PHA3,953
A0A1D8PHA2,P83782,925
A0A1D8PHA2,A0A1D8PLP3,925
A0A1D8PHA2,A0A1D8PJT8,911
A0A1D8PHA3,A0A1D8PP59,935
A0A1D8PHA3,Q5ALV5,832
A0A1D8PHA3,A0A1D8PJX3,953
A0A1D8PHA3,Q5ABS1,953
A0A1D8PHA3,A0A1D8PJA6,794
A0A1D8PHA3,Q59TD5,801
A0A1D8PHA3,Q59Y38,722
A0A1D8PHA3,A0A1D8PU51,794
A0A1D8PHA3,A0A1D8PG37,801
A0A1D8PHA3,Q9B8D8,783
A0A1D8PHA3,P83782,925
A0A1D8PHA3,A0A1D8PQU3,784
A0A1D8PHA3,A0A1D8PEH4,832
A0A1D8PHA3,A0A1D8PLP3,953
A0A1D8PHA3,Q5AJG7,819
A0A1D8PHA3,Q9B1P9,832
A0A1D8PHA3,A0A1D8PH08,832
A0A1D8PHA3,A0A1D8PCD3,832
A0A1D8PHA3,A0A1D8PQD5,832
A0A1D8PHA3,Q5ABD5,728
A0A1D8PHA3,P0C8K9,832
A0A1D8PHA3,Q5APK5,815
A0A1D8PHA3,P0C8L0,953
A0A1D8PHA3,A0A1D8PJT8,920
A0A1D8PHA3,A0A1D8PHA2,953
A0A1D8PHC5,Q5AEF2,781
A0A1D8PHC5,A0A1D8PLW7,832
A0A1D8PHC5,A0A1D8PGV7,921
A0A1D8PHC5,A0A1D8PNP6,921
A0A1D8PHC9,A0A1D8PGV7,921
A0A1D8PHD8,A0A1D8PLR5,832
A0A1D8PHD8,A0A1D8PQS2,785
A0A1D8PHD8,Q59M52,832
A0A1D8PHD8,A0A1D8PMS1,832
A0A1D8PHD8,A0A1D8PQ44,740
A0A1D8PHD8,A0A1D8PFJ8,832
A0A1D8PHD8,Q59QT0,832
A0A1D8PHD8,Q5AP67,799
A0A1D8PHD8,A0A1D8PFX2,832
A0A1D8PHD8,Q59LT9,832
A0A1D8PHD8,Q59MZ8,832
A0A1D8PHD8,A0A1D8PQM4,832
A0A1D8PHD8,A0A1D8PHV8,832
A0A1D8PHD8,Q5A298,785
A0A1D8PHD8,A0A1D8PS34,825
A0A1D8PHD8,A0A1D8PEX3,832
A0A1D8PHF1,A0A1D8PUC1,797
A0A1D8PHF1,A0A1D8PNM3,785
A0A1D8PHF1,A0A1D8PH20,809
A0A1D8PHF1,Q59P44,800
A0A1D8PHF1,A0A1D8PPC8,781
A0A1D8PHF1,A0A1D8PHP3,803
A0A1D8PHF5,Q5ADQ6,925
A0A1D8PHF5,Q5AJ93,925
A0A1D8PHF5,A0A1D8PSK2,925
A0A1D8PHF5,P25997,921
A0A1D8PHF5,Q5A6A1,925
A0A1D8PHF5,P83774,925
A0A1D8PHF5,A0A1D8PFG4,925
A0A1D8PHF5,A0A1D8PEY9,925
A0A1D8PHF5,A0A1D8PLC9,925
A0A1D8PHF5,A0A1D8PQN0,925
A0A1D8PHF5,A0A1D8PHW1,925
A0A1D8PHF5,A0A1D8PN83,921
A0A1D8PHF5,O59931,925
A0A1D8PHF5,A0A1D8PDZ1,925
A0A1D8PHF5,A0A1D8PI15,925
A0A1D8PHF5,A0A1D8PCG7,925
A0A1D8PHF5,A0A1D8PP14,925
A0A1D8PHF5,A0A1D8PCI6,861
A0A1D8PHF5,A0A1D8PK22,925
A0A1D8PHF5,A0A1D8PSV5,925
A0A1D8PHF5,A0A1D8PF45,925
A0A1D8PHF5,A0A1D8PF57,861
A0A1D8PHF5,A0A1D8PTY4,921
A0A1D8PHF5,A0A1D8PQS0,832
A0A1D8PHF5,A0A1D8PHH4,925
A0A1D8PHF5,Q5AG43,925
A0A1D8PHF5,A0A1D8PDT3,925
A0A1D8PHF5,A0A1D8PK43,925
A0A1D8PHF5,Q5AIB8,925
A0A1D8PHF5,P40910,925
A0A1D8PHF5,A0A1D8PTI7,861
A0A1D8PHF5,A0A1D8PCW6,925
A0A1D8PHF5,A0A1D8PPN6,925
A0A1D8PHF5,A0A1D8PNQ6,925
A0A1D8PHF5,A0A1D8PK71,816
A0A1D8PHF5,A0A1D8PFL9,925
A0A1D8PHF5,A0A1D8PTR4,925
A0A1D8PHF5,A0A1D8PK30,925
A0A1D8PHF5,Q5A6R1,925
A0A1D8PHF5,A0A1D8PPE0,925
A0A1D8PHF5,A0A1D8PGY8,925
A0A1D8PHF5,O42817,925
A0A1D8PHF5,A0A1D8PK40,925
A0A1D8PHF5,Q5A109,925
A0A1D8PHF5,Q5AB87,925
A0A1D8PHF5,Q5ALV6,925
A0A1D8PHF5,Q96W54,861
A0A1D8PHF5,Q5AJF7,832
A0A1D8PHF5,Q59L13,832
A0A1D8PHF5,A0A1D8PCX8,925
A0A1D8PHF5,A0A1D8PEV4,833
A0A1D8PHF5,P0CU35,861
A0A1D8PHF5,A0A1D8PL99,925
A0A1D8PHF5,A0A1D8PL68,861
A0A1D8PHF5,A0A1D8PM75,925
A0A1D8PHF5,A0A1D8PG16,925
A0A1D8PHF5,A0A1D8PM41,925
A0A1D8PHF5,Q5ANA1,861
A0A1D8PHF5,A0A1D8PPT5,925
A0A1D8PHF5,Q5A900,925
A0A1D8PHF5,Q59T44,925
A0A1D8PHF5,A0A1D8PK61,861
A0A1D8PHF5,A0A1D8PDL6,925
A0A1D8PHF5,A0A1D8PCQ5,925
A0A1D8PHF5,A0A1D8PH21,925
A0A1D8PHF5,Q5A7K0,925
A0A1D8PHF5,A0A1D8PQQ5,925
A0A1D8PHF5,Q59LS1,925
A0A1D8PHF5,Q5AEN2,925
A0A1D8PHF5,Q59SI1,797
A0A1D8PHF5,A0A1D8PPS1,925
A0A1D8PHF5,A0A1D8PSC5,925
A0A1D8PHF5,A0A1D8PDU3,925
A0A1D8PHF5,A0A1D8PF08,925
A0A1D8PHF5,A0A1D8PDT4,925
A0A1D8PHF5,Q59TE0,925
A0A1D8PHF5,Q5A389,925
A0A1D8PHF5,Q5AGZ7,925
A0A1D8PHF5,A0A1D8PFV1,925
A0A1D8PHF5,A0A1D8PGY0,925
A0A1D8PHF5,Q5A0M4,832
A0A1D8PHF5,Q9UVJ4,832
A0A1D8PHH4,P83774,925
A0A1D8PHH4,A0A1D8PFG4,925
A0A1D8PHH4,A0A1D8PEY9,925
A0A1D8PHH4,P25997,921
A0A1D8PHH4,Q5A6A1,925
A0A1D8PHH4,Q5AJ93,925
A0A1D8PHH4,A0A1D8PSK2,925
A0A1D8PHH4,Q5ADQ6,925
A0A1D8PHH4,A0A1D8PSV5,925
A0A1D8PHH4,A0A1D8PP14,925
A0A1D8PHH4,A0A1D8PCI6,861
A0A1D8PHH4,A0A1D8PK22,925
A0A1D8PHH4,O59931,925
A0A1D8PHH4,A0A1D8PDZ1,925
A0A1D8PHH4,A0A1D8PI15,925
A0A1D8PHH4,A0A1D8PCG7,925
A0A1D8PHH4,A0A1D8PLC9,925
A0A1D8PHH4,A0A1D8PQN0,925
A0A1D8PHH4,A0A1D8PHW1,925
A0A1D8PHH4,A0A1D8PN83,920
A0A1D8PHH4,A0A1D8PTI7,861
A0A1D8PHH4,A0A1D8PCW6,925
A0A1D8PHH4,A0A1D8PPN6,925
A0A1D8PHH4,A0A1D8PK43,925
A0A1D8PHH4,P40910,925
A0A1D8PHH4,Q5AIB8,925
A0A1D8PHH4,A0A1D8PQS0,832
A0A1D8PHH4,Q5AG43,925
A0A1D8PHH4,A0A1D8PDT3,925
A0A1D8PHH4,A0A1D8PF45,925
A0A1D8PHH4,A0A1D8PF57,861
A0A1D8PHH4,A0A1D8PTY4,921
A0A1D8PHH4,A0A1D8PGY8,925
A0A1D8PHH4,O42817,925
A0A1D8PHH4,A0A1D8PK40,925
A0A1D8PHH4,Q5A109,925
A0A1D8PHH4,Q5A6R1,925
A0A1D8PHH4,A0A1D8PPE0,925
A0A1D8PHH4,A0A1D8PTR4,925
A0A1D8PHH4,A0A1D8PK30,925
A0A1D8PHH4,A0A1D8PNQ6,925
A0A1D8PHH4,A0A1D8PK71,816
A0A1D8PHH4,A0A1D8PFL9,925
A0A1D8PHH4,P0CU35,861
A0A1D8PHH4,A0A1D8PL99,925
A0A1D8PHH4,A0A1D8PL68,861
A0A1D8PHH4,A0A1D8PEV4,833
A0A1D8PHH4,Q5AJF7,832
A0A1D8PHH4,Q59L13,832
A0A1D8PHH4,A0A1D8PCX8,925
A0A1D8PHH4,Q5AB87,925
A0A1D8PHH4,Q5ALV6,925
A0A1D8PHH4,Q96W54,861
A0A1D8PHH4,A0A1D8PCQ5,925
A0A1D8PHH4,A0A1D8PH21,925
A0A1D8PHH4,A0A1D8PM41,925
A0A1D8PHH4,Q5ANA1,861
A0A1D8PHH4,A0A1D8PPT5,925
A0A1D8PHH4,Q5A900,925
A0A1D8PHH4,Q59T44,925
A0A1D8PHH4,A0A1D8PK61,861
A0A1D8PHH4,A0A1D8PDL6,925
A0A1D8PHH4,A0A1D8PG16,925
A0A1D8PHH4,A0A1D8PM75,925
A0A1D8PHH4,A0A1D8PHF5,925
A0A1D8PHH4,Q59LS1,925
A0A1D8PHH4,Q5AEN2,925
A0A1D8PHH4,Q59SI1,786
A0A1D8PHH4,A0A1D8PPS1,925
A0A1D8PHH4,A0A1D8PSC5,925
A0A1D8PHH4,A0A1D8PDU3,925
A0A1D8PHH4,A0A1D8PQQ5,925
A0A1D8PHH4,Q5A7K0,925
A0A1D8PHH4,Q5A0M4,832
A0A1D8PHH4,Q9UVJ4,832
A0A1D8PHH4,Q59TE0,925
A0A1D8PHH4,Q5A389,925
A0A1D8PHH4,Q5AGZ7,925
A0A1D8PHH4,A0A1D8PFV1,925
A0A1D8PHH4,A0A1D8PGY0,925
A0A1D8PHH4,A0A1D8PF08,925
A0A1D8PHH4,A0A1D8PDT4,925
A0A1D8PHI0,A0A1D8PQP2,806
A0A1D8PHI0,Q5AMN0,832
A0A1D8PHI0,A0A1D8PNV1,832
A0A1D8PHI0,A0A1D8PU93,832
A0A1D8PHJ3,P0C8K9,785
A0A1D8PHJ3,Q9B8D8,832
A0A1D8PHJ3,P83782,808
A0A1D8PHJ3,A0A1D8PJX3,798
A0A1D8PHJ3,Q9B1P9,780
A0A1D8PHJ3,Q5ALV5,799
A0A1D8PHJ3,A0A1D8PQD5,782
A0A1D8PHK4,A0A1D8PIG5,921
A0A1D8PHP3,A0A1D8PPC8,832
A0A1D8PHP3,Q5APB0,822
A0A1D8PHP3,A0A1D8PH20,832
A0A1D8PHP3,A0A1D8PNM3,832
A0A1D8PHP3,Q5ADV1,815
A0A1D8PHP3,A0A1D8PNL9,764
A0A1D8PHP3,A0A1D8PMR5,805
A0A1D8PHP3,A0A1D8PUC1,832
A0A1D8PHP3,A0A1D8PFH7,734
A0A1D8PHP3,A0A1D8PTI0,819
A0A1D8PHP3,Q5AED6,783
A0A1D8PHP3,A0A1D8PH71,832
A0A1D8PHP3,Q5A449,832
A0A1D8PHP3,Q5A7Q3,785
A0A1D8PHP3,A0A1D8PHF1,803
A0A1D8PHP3,Q5A322,832
A0A1D8PHP3,Q5APG6,826
A0A1D8PHP3,A0A1D8PRP0,722
A0A1D8PHQ0,Q59TN2,832
A0A1D8PHQ0,A0A1D8PDF4,800
A0A1D8PHQ0,A0A1D8PCE7,832
A0A1D8PHQ0,A0A1D8PD51,832
A0A1D8PHQ0,A0A1D8PDW1,832
A0A1D8PHQ0,Q59X53,832
A0A1D8PHQ5,Q5A322,788
A0A1D8PHQ5,A0A1D8PFI2,832
A0A1D8PHV8,A0A1D8PHD8,832
A0A1D8PHV8,Q59QT0,832
A0A1D8PHV8,A0A1D8PS34,824
A0A1D8PHV8,A0A1D8PEX3,832
A0A1D8PHV8,A0A1D8PFJ8,832
A0A1D8PHV8,A0A1D8PQM4,832
A0A1D8PHV8,Q59MZ8,832
A0A1D8PHV8,Q5AD50,818
A0A1D8PHV8,A0A1D8PLR5,832
A0A1D8PHV8,A0A1D8PFX2,782
A0A1D8PHV8,Q59LT9,832
A0A1D8PHW1,Q5AIB8,925
A0A1D8PHW1,P40910,925
A0A1D8PHW1,A0A1D8PCW6,925
A0A1D8PHW1,A0A1D8PF45,925
A0A1D8PHW1,A0A1D8PTY4,921
A0A1D8PHW1,Q5AG43,925
A0A1D8PHW1,A0A1D8PHH4,925
A0A1D8PHW1,A0A1D8PQS0,832
A0A1D8PHW1,O42817,925
A0A1D8PHW1,A0A1D8PNQ6,925
A0A1D8PHW1,A0A1D8PFL9,925
A0A1D8PHW1,A0A1D8PTR4,925
A0A1D8PHW1,A0A1D8PK30,925
A0A1D8PHW1,Q5A6A1,925
A0A1D8PHW1,A0A1D8PP14,925
A0A1D8PHW1,A0A1D8PK22,925
A0A1D8PHW1,A0A1D8PSV5,925
A0A1D8PHW1,A0A1D8PQN0,925
A0A1D8PHW1,A0A1D8PDZ1,925
A0A1D8PHW1,A0A1D8PI15,925
A0A1D8PHW1,Q59SI1,783
A0A1D8PHW1,A0A1D8PSC5,925
A0A1D8PHW1,A0A1D8PPS1,925
A0A1D8PHW1,Q5A7K0,925
A0A1D8PHW1,Q9UVJ4,832
A0A1D8PHW1,Q5A0M4,832
A0A1D8PHW1,Q5A389,925
A0A1D8PHW1,P0CU35,861
A0A1D8PHW1,A0A1D8PL99,925
A0A1D8PHW1,Q5AB87,925
A0A1D8PHW1,Q96W54,861
A0A1D8PHW1,Q5ALV6,925
A0A1D8PHW1,Q5A900,925
A0A1D8PHW1,A0A1D8PM41,925
A0A1D8PHW1,A0A1D8PCQ5,925
A0A1D8PHW1,A0A1D8PG16,925
A0A1D8PHW1,A0A1D8PK43,925
A0A1D8PHW1,A0A1D8PTI7,861
A0A1D8PHW1,A0A1D8PPN6,925
A0A1D8PHW1,A0A1D8PF57,861
A0A1D8PHW1,A0A1D8PDT3,925
A0A1D8PHW1,Q5A6R1,925
A0A1D8PHW1,A0A1D8PPE0,925
A0A1D8PHW1,A0A1D8PGY8,925
A0A1D8PHW1,Q5A109,925
A0A1D8PHW1,A0A1D8PK40,925
A0A1D8PHW1,A0A1D8PK71,816
A0A1D8PHW1,P25997,921
A0A1D8PHW1,P83774,925
A0A1D8PHW1,A0A1D8PEY9,925
A0A1D8PHW1,A0A1D8PFG4,925
A0A1D8PHW1,Q5ADQ6,925
A0A1D8PHW1,A0A1D8PSK2,925
A0A1D8PHW1,Q5AJ93,925
A0A1D8PHW1,A0A1D8PCI6,861
A0A1D8PHW1,A0A1D8PLC9,925
A0A1D8PHW1,A0A1D8PN83,920
A0A1D8PHW1,O59931,925
A0A1D8PHW1,A0A1D8PCG7,925
A0A1D8PHW1,Q5AEN2,925
A0A1D8PHW1,Q59LS1,925
A0A1D8PHW1,A0A1D8PDU3,925
A0A1D8PHW1,A0A1D8PHF5,925
A0A1D8PHW1,A0A1D8PQQ5,925
A0A1D8PHW1,A0A1D8PF08,925
A0A1D8PHW1,A0A1D8PDT4,925
A0A1D8PHW1,Q59TE0,925
A0A1D8PHW1,A0A1D8PGY0,925
A0A1D8PHW1,Q5AGZ7,925
A0A1D8PHW1,A0A1D8PFV1,925
A0A1D8PHW1,A0A1D8PEV4,833
A0A1D8PHW1,A0A1D8PL68,861
A0A1D8PHW1,Q5AJF7,832
A0A1D8PHW1,A0A1D8PCX8,925
A0A1D8PHW1,Q5ANA1,861
A0A1D8PHW1,A0A1D8PPT5,925
A0A1D8PHW1,A0A1D8PDL6,925
A0A1D8PHW1,A0A1D8PK61,861
A0A1D8PHW1,Q59T44,925
A0A1D8PHW1,A0A1D8PH21,925
A0A1D8PHW1,A0A1D8PM75,925
A0A1D8PHW4,A0A1D8PTJ5,832
A0A1D8PHW4,A0A1D8PIE7,832
A0A1D8PHW4,A0A1D8PU96,801
A0A1D8PHW4,Q59MA3,785
A0A1D8PHW4,Q59P49,832
A0A1D8PHW4,A0A1D8PS48,832
A0A1D8PHW4,Q59S42,815
A0A1D8PHW4,Q5AFK3,832
A0A1D8PHW4,A0A1D8PFE6,832
A0A1D8PHW4,Q5A034,832
A0A1D8PHX2,Q59S06,717
A0A1D8PHX2,A0A1D8PGP2,762
A0A1D8PHX2,A0A1D8PI20,702
A0A1D8PHX2,Q5A213,747
A0A1D8PHX2,A0A1D8PJ43,832
A0A1D8PHX2,A0A1D8PJ54,747
A0A1D8PHX2,Q5ACL9,772
A0A1D8PHX2,Q59ZX6,747
A0A1D8PHX3,Q5A2C3,778
A0A1D8PHX3,Q59V90,832
A0A1D8PHX3,A0A1D8PFD7,832
A0A1D8PHX6,A0A1D8PNA1,783
A0A1D8PHX6,A0A1D8PU52,832
A0A1D8PHX6,Q5A7S5,764
A0A1D8PHX6,Q5APP1,802
A0A1D8PHY0,Q9B8C8,832
A0A1D8PHY0,A0A1D8PRX9,832
A0A1D8PHY0,A0A1D8PCD3,832
A0A1D8PHY0,Q9B8D1,786
A0A1D8PHY0,A0A1D8PEJ9,822
A0A1D8PHY0,Q9B8D6,709
A0A1D8PHY0,Q5AH07,786
A0A1D8PHY0,Q5ABD5,832
A0A1D8PHY0,Q5A222,832
A0A1D8PHY0,A0A1D8PPZ0,832
A0A1D8PHY0,A0A1D8PE69,709
A0A1D8PHY0,A0A1D8PJA6,832
A0A1D8PHY0,A0A1D8PJ73,832
A0A1D8PHY0,Q59TD5,799
A0A1D8PHY0,Q59Y38,803
A0A1D8PHY0,A0A1D8PG37,820
A0A1D8PHY0,A0A1D8PU51,786
A0A1D8PHY0,A0A1D8PDI3,832
A0A1D8PHY0,A0A1D8PQU3,832
A0A1D8PHY0,A0A1D8PEH4,796
A0A1D8PHY0,Q5ADP7,783
A0A1D8PHY0,Q5AJG7,832
A0A1D8PHY2,A0A1D8PTY4,921
A0A1D8PHY2,Q59ZI7,832
A0A1D8PHY2,A0A1D8PRP9,796
A0A1D8PHY2,Q59SJ6,785
A0A1D8PHY2,P25997,921
A0A1D8PHY2,A0A1D8PRY0,785
A0A1D8PHY2,Q5AJZ7,785
A0A1D8PHY2,A0A1D8PRG0,747
A0A1D8PHZ6,A0A1D8PU88,788
A0A1D8PI01,A0A1D8PI59,791
A0A1D8PI01,Q5A4Y2,832
A0A1D8PI01,A0A1D8PMC8,832
A0A1D8PI15,A0A1D8PCG7,925
A0A1D8PI15,O59931,925
A0A1D8PI15,A0A1D8PDZ1,925
A0A1D8PI15,A0A1D8PHW1,925
A0A1D8PI15,A0A1D8PN83,921
A0A1D8PI15,A0A1D8PLC9,925
A0A1D8PI15,A0A1D8PQN0,925
A0A1D8PI15,A0A1D8PSV5,925
A0A1D8PI15,A0A1D8PK22,925
A0A1D8PI15,A0A1D8PP14,925
A0A1D8PI15,A0A1D8PCI6,861
A0A1D8PI15,Q5AJ93,925
A0A1D8PI15,A0A1D8PSK2,925
A0A1D8PI15,Q5ADQ6,925
A0A1D8PI15,A0A1D8PFG4,925
A0A1D8PI15,A0A1D8PEY9,925
A0A1D8PI15,P83774,925
A0A1D8PI15,Q5A6A1,925
A0A1D8PI15,P25997,921
A0A1D8PI15,A0A1D8PK30,925
A0A1D8PI15,A0A1D8PTR4,925
A0A1D8PI15,A0A1D8PFL9,925
A0A1D8PI15,A0A1D8PK71,816
A0A1D8PI15,A0A1D8PNQ6,925
A0A1D8PI15,A0A1D8PK40,925
A0A1D8PI15,Q5A109,925
A0A1D8PI15,A0A1D8PGY8,925
A0A1D8PI15,O42817,925
A0A1D8PI15,A0A1D8PPE0,925
A0A1D8PI15,Q5A6R1,925
A0A1D8PI15,A0A1D8PDT3,925
A0A1D8PI15,A0A1D8PHH4,925
A0A1D8PI15,Q5AG43,925
A0A1D8PI15,A0A1D8PQS0,832
A0A1D8PI15,A0A1D8PTY4,921
A0A1D8PI15,A0A1D8PF45,925
A0A1D8PI15,A0A1D8PF57,861
A0A1D8PI15,A0A1D8PCW6,925
A0A1D8PI15,A0A1D8PPN6,925
A0A1D8PI15,A0A1D8PTI7,861
A0A1D8PI15,Q5AIB8,925
A0A1D8PI15,P40910,925
A0A1D8PI15,A0A1D8PK43,925
A0A1D8PI15,A0A1D8PG16,925
A0A1D8PI15,A0A1D8PM75,925
A0A1D8PI15,A0A1D8PCQ5,925
A0A1D8PI15,A0A1D8PH21,925
A0A1D8PI15,Q5A5P8,832
A0A1D8PI15,Q59T44,925
A0A1D8PI15,A0A1D8PDL6,925
A0A1D8PI15,A0A1D8PK61,861
A0A1D8PI15,Q5ANA1,861
A0A1D8PI15,A0A1D8PPT5,925
A0A1D8PI15,A0A1D8PM41,925
A0A1D8PI15,Q5A900,925
A0A1D8PI15,Q5AJF7,832
A0A1D8PI15,A0A1D8PCX8,925
A0A1D8PI15,Q5ALV6,925
A0A1D8PI15,Q96W54,861
A0A1D8PI15,Q5AB87,925
A0A1D8PI15,A0A1D8PL68,861
A0A1D8PI15,A0A1D8PL99,925
A0A1D8PI15,P0CU35,861
A0A1D8PI15,A0A1D8PEV4,833
A0A1D8PI15,A0A1D8PFV1,925
A0A1D8PI15,Q5AGZ7,925
A0A1D8PI15,Q5A389,925
A0A1D8PI15,A0A1D8PGY0,925
A0A1D8PI15,Q59TE0,925
A0A1D8PI15,A0A1D8PDT4,925
A0A1D8PI15,A0A1D8PF08,925
A0A1D8PI15,Q5A0M4,832
A0A1D8PI15,Q9UVJ4,832
A0A1D8PI15,A0A1D8PQQ5,925
A0A1D8PI15,Q5A7K0,925
A0A1D8PI15,A0A1D8PHF5,925
A0A1D8PI15,A0A1D8PPS1,925
A0A1D8PI15,A0A1D8PDU3,925
A0A1D8PI15,A0A1D8PSC5,925
A0A1D8PI15,Q59LS1,925
A0A1D8PI15,Q5AEN2,925
A0A1D8PI20,A0A1D8PKG5,747
A0A1D8PI20,A0A1D8PPE0,747
A0A1D8PI20,A0A1D8PRJ5,702
A0A1D8PI20,Q5A756,747
A0A1D8PI20,Q5ACL9,747
A0A1D8PI20,A0A1D8PJ54,747
A0A1D8PI20,Q5AFB9,747
A0A1D8PI20,Q59W63,821
A0A1D8PI20,Q59ZX6,747
A0A1D8PI20,Q5APD0,702
A0A1D8PI20,Q59X74,702
A0A1D8PI20,Q5ANL6,702
A0A1D8PI20,Q5A213,747
A0A1D8PI20,A0A1D8PJ43,747
A0A1D8PI20,A0A1D8PLN1,747
A0A1D8PI20,Q5A0H6,702
A0A1D8PI20,A0A1D8PGM4,747
A0A1D8PI20,A0A1D8PHX2,702
A0A1D8PI20,A0A1D8PGP2,702
A0A1D8PI20,Q5A6P2,747
A0A1D8PI20,A0A1D8PF50,808
A0A1D8PI20,Q59Y40,747
A0A1D8PI20,A0A1D8PRE0,797
A0A1D8PI20,A0A1D8PFZ9,702
A0A1D8PI20,A0A1D8PF14,747
A0A1D8PI20,A0A1D8PRE8,747
A0A1D8PI20,A0A1D8PNG5,747
A0A1D8PI20,Q59S06,806
A0A1D8PI20,A0A1D8PU59,702
A0A1D8PI20,Q59UH8,702
A0A1D8PI20,A0A1D8PJD3,747
A0A1D8PI20,Q5A7Q9,785
A0A1D8PI44,A0A1D8PNH8,807
A0A1D8PI59,A0A1D8PI01,791
A0A1D8PI59,A0A1D8PJE8,725
A0A1D8PI59,Q5A4Y2,832
A0A1D8PI64,A0A1D8PSF4,832
A0A1D8PI73,Q9P975,832
A0A1D8PI83,Q5A873,921
A0A1D8PI93,Q5AEB8,832
A0A1D8PI93,A0A1D8PMQ4,832
A0A1D8PI93,A0A1D8PFZ8,832
A0A1D8PI93,A0A1D8PFL7,832
A0A1D8PI93,A0A1D8PIV7,832
A0A1D8PI93,A0A1D8PTV0,832
A0A1D8PI93,Q5A0L8,832
A0A1D8PI93,A0A1D8PGA6,785
A0A1D8PI93,A0A1D8PD15,832
A0A1D8PI93,A0A1D8PTY6,832
A0A1D8PI93,A0A1D8PNA8,832
A0A1D8PI93,Q59X29,832
A0A1D8PI93,Q5A2A0,832
A0A1D8PI93,Q5A6S2,832
A0A1D8PI93,A0A1D8PP77,802
A0A1D8PI93,Q5A3L0,832
A0A1D8PI93,A0A1D8PLW8,832
A0A1D8PI93,Q59SD0,832
A0A1D8PIE7,A0A1D8PS48,832
A0A1D8PIE7,Q59P49,832
A0A1D8PIE7,Q59MA3,805
A0A1D8PIE7,A0A1D8PU96,822
A0A1D8PIE7,A0A1D8PHW4,832
A0A1D8PIE7,A0A1D8PTJ5,832
A0A1D8PIE7,Q5A034,832
A0A1D8PIE7,A0A1D8PFE6,832
A0A1D8PIE7,Q5AFK3,797
A0A1D8PIE7,Q59S42,801
A0A1D8PIE9,Q5APS5,820
A0A1D8PIE9,Q59RI7,773
A0A1D8PIG5,P46598,944
A0A1D8PIG5,A0A1D8PHK4,921
A0A1D8PIG5,A0A1D8PG03,921
A0A1D8PIN6,A0A1D8PK87,782
A0A1D8PIN6,Q5AHZ2,798
A0A1D8PIN6,A0A1D8PF22,826
